green_wv	Wavelength
499.698	-1.712656394696383
500.063	-1.697838673730481
500.427	-1.687083947986783
500.792	-1.6324496880153359
501.156	-1.6685536529262381
501.521	-1.6160972956863895
501.885	-1.6778541901857604
502.25	-1.6135322180608838
502.614	-1.5938597449113345
502.979	-1.5878416135490152
503.343	-1.5769254234100372
503.707	-1.552347583021516
504.071	-1.5667281601520708
504.436	-1.611005944041508
504.8	-1.566257823868613
505.164	-1.5315675446900905
505.528	-1.5768197607965406
505.892	-1.435269511139089
506.256	-1.5052755434204055
506.62	-1.432694875909659
506.984	-1.4424582883780006
507.348	-1.4617236014935746
507.711	-1.4423230190754555
508.075	-1.4382157842157122
508.439	-1.4007460512232686
508.803	-1.3383856424419558
509.166	-1.3598686663915718
509.53	-1.3224202895219161
509.893	-1.3097949014069696
510.257	-1.2914763774252012
510.62	-1.2744618272157497
510.984	-1.3160752893446732
511.347	-1.2993201857493388
511.71	-1.2603485414200681
512.074	-1.2391169948092087
512.437	-1.2546931843126736
512.8	-1.2519251523706043
513.163	-1.1695948161351482
513.526	-1.0872050458011884
513.889	-1.0722986007337842
514.252	-1.1039175476604373
514.615	-1.1466601963748737
514.978	-1.0896176761689418
515.341	-1.152841254759109
515.704	-1.0594312666935362
516.067	-1.1197118371478154
516.43	-1.0160955310672704
516.792	-0.9782942866566451
517.155	-1.025223753381724
517.518	-1.0666808821923308
517.88	-0.9853515321205324
518.243	-0.9983727049797156
518.605	-1.005983724603187
518.968	-0.9501167461336818
519.33	-0.920365830522855
519.692	-0.974459748514613
520.055	-0.9477554507451048
520.417	-0.935349122108627
520.779	-0.899265007031239
521.141	-0.8365259600618382
521.503	-0.8350801033391546
521.866	-0.8501653007367457
522.228	-0.7972530523703247
522.59	-0.8356653009963961
522.952	-0.7441293897783241
523.313	-0.7816032230613039
523.675	-0.7932541451428292
524.037	-0.7384931583672991
524.399	-0.7676342030174668
524.761	-0.7514664096768106
525.122	-0.7464971288073885
525.484	-0.7180989016923075
525.846	-0.6960031004993702
526.207	-0.6987021501952577
526.569	-0.5929707413099009
526.93	-0.6328659050885426
527.292	-0.5664821751428756
527.653	-0.6604687352295088
528.014	-0.6172393774167493
528.376	-0.6073549920387997
528.737	-0.5853676656335376
529.098	-0.6140729061547485
529.459	-0.5559047939448502
529.82	-0.5517183383435762
530.182	-0.5817899907027428
530.543	-0.5820442619143505
530.904	-0.6381793075637988
531.265	-0.5321658630068832
531.625	-0.46838889252368887
531.986	-0.4544969306530766
532.347	-0.46695278625525594
532.708	-0.4286954237757169
533.069	-0.41010286040729405
533.429	-0.41931902887472755
533.79	-0.4470509017514493
534.151	-0.47358820923441086
534.511	-0.45911353197569243
534.872	-0.3435120063992626
535.232	-0.4060237132755292
535.592	-0.31779981996648377
535.953	-0.3593514620929711
536.313	-0.3612799399025421
536.673	-0.3585028673982694
537.034	-0.3778264724173714
537.394	-0.31940445393230277
537.754	-0.34391291022546416
538.114	-0.28776062982895034
538.474	-0.20565724521797873
538.834	-0.2936453463653041
539.194	-0.27376073149633695
539.554	-0.2586392478280946
539.914	-0.2443311021079808
540.274	-0.19571979844756388
540.634	-0.18715441853536885
540.993	-0.2772074636875145
541.353	-0.19520053079964245
541.713	-0.17816610771930952
542.072	-0.20101431208783826
542.432	-0.12854284344599098
542.792	-0.1614754977143262
543.151	-0.13534550330377115
543.511	-0.14516500129434853
543.87	-0.12595317425177383
544.229	-0.12582743834681237
544.589	-0.06054111276283138
544.948	-0.06833865107428802
545.307	-0.09310048747176526
545.666	-0.11793467018211101
546.025	-0.0601825995115021
546.384	-0.03195999681631365
546.744	0.017410467667206116
547.103	-0.02286549571948359
547.461	0.03509138621076981
547.82	-0.017756435244217487
548.179	-0.03629558058779934
548.538	-0.007214686775924346
548.897	0.06251793664690389
549.256	0.06670471355198507
549.614	0.0453089795886166
549.973	0.036696849875337986
550.332	0.0363645174656026
550.69	0.0170577595100705
551.049	0.06618134095000165
551.407	0.022525187468603835
551.765	0.11336564495288956
552.124	0.11886596883821687
552.482	0.1626390727462638
552.84	0.10558656314930333
553.199	0.14995675523012494
553.557	0.2059769205326912
553.915	0.2363293919344866
554.273	0.17624059678836032
554.631	0.23957593488367265
554.989	0.23522020342165084
555.347	0.21685761695344646
555.705	0.2235155397824425
556.063	0.21659677304274658
556.421	0.2763424907276043
556.779	0.28978312304038817
557.136	0.276180899188528
557.494	0.29649717747173376
557.852	0.322279668327047
558.209	0.3447530858053981
558.567	0.3331164139153639
558.925	0.35385933659011837
559.282	0.34000330847287397
559.64	0.3988507970131122
559.997	0.36796396193809044
560.354	0.38927794068898836
560.712	0.3574207409541864
561.069	0.41874979153416225
561.426	0.41011787134211897
561.783	0.43296507585263433
562.14	0.43622101902327354
562.497	0.3702386777395945
562.854	0.46311202998910694
563.211	0.41124577537738266
563.568	0.4051528052940327
563.925	0.5216320689299865
564.282	0.4327297217257097
564.639	0.48090528582011005
564.996	0.4674325831865633
565.353	0.5015073088841427
565.709	0.5494267083788784
566.066	0.5528376617782983
566.422	0.5289766773250206
566.779	0.5584968482912781
567.135	0.5143378415969727
567.492	0.5438158471624381
567.848	0.575451908269479
568.205	0.6162884342018644
568.561	0.5641198834039359
568.917	0.5782018558922317
569.274	0.6049396477409912
569.63	0.6245680401674136
569.986	0.6401192445206905
570.342	0.6453240672716094
570.698	0.6635067450886865
571.054	0.6293763082184195
571.41	0.6656892938674945
571.766	0.6541985434499528
572.122	0.6626883690407914
572.478	0.6573787764163507
572.833	0.7064049841083919
573.189	0.7317542473532856
